time_window,source_node,route_id,packets_sent,packets_lost,loss_rate,utilization,traffic_rate_kbps
51,7,route_7_to_9,604,590,0.976821,0.203331,2469.8
51,8,route_8_to_9,1248,620,0.496795,0.420127,2469.8
51,8,route_8_to_9,23,9,0.391304,0.00035328,2469.8
52,0,route_0_to_9,1508,1328,0.880637,0.507653,2469.8
52,4,route_4_to_9,26,7,0.269231,0.00039424,2469.8
52,5,route_5_to_9,45,0,0,0.00068608,2469.8
52,1,route_1_to_9,965,616,0.638342,0.324858,2469.8
52,6,route_6_to_9,19,9,0.473684,0.00028928,2469.8
52,2,route_2_to_9,988,830,0.840081,0.3326,2469.8
52,3,route_3_to_9,486,473,0.973251,0.163607,2469.8
52,4,route_4_to_9,882,533,0.604308,0.296916,2469.8
52,5,route_5_to_9,1495,322,0.215385,0.503277,2469.8
52,6,route_6_to_9,1104,707,0.640399,0.371651,2469.8
52,7,route_7_to_9,591,584,0.988156,0.198954,2469.8
52,8,route_8_to_9,846,356,0.420804,0.284797,2469.8
52,8,route_8_to_9,12,9,0.75,0.00018432,2469.8
53,0,route_0_to_9,1140,1072,0.940351,0.38377,2469.8
53,4,route_4_to_9,20,11,0.55,0.0003072,2469.8
53,5,route_5_to_9,31,0,0,0.0004736,2469.8
53,1,route_1_to_9,1341,1073,0.800149,0.451434,2469.8
53,6,route_6_to_9,14,5,0.357143,0.00022016,2469.8
53,2,route_2_to_9,1286,1189,0.924572,0.432919,2469.8
53,3,route_3_to_9,1363,1361,0.998533,0.45884,2469.8
53,4,route_4_to_9,1046,749,0.716061,0.352125,2469.8
53,5,route_5_to_9,1195,249,0.208368,0.402285,2469.8
53,6,route_6_to_9,928,698,0.752155,0.312402,2469.8
53,7,route_7_to_9,1279,1220,0.95387,0.430563,2469.8
53,8,route_8_to_9,1119,547,0.488829,0.3767,2469.8
53,8,route_8_to_9,15,1,0.0666667,0.00023552,2469.8
54,0,route_0_to_9,529,486,0.918715,0.178083,2469.8
54,4,route_4_to_9,17,10,0.588235,0.00025792,2469.8
54,5,route_5_to_9,51,2,0.0392157,0.00077312,2469.8
54,1,route_1_to_9,495,390,0.787879,0.166637,2469.8
54,6,route_6_to_9,18,5,0.277778,0.00025664,2469.8
54,2,route_2_to_9,1111,843,0.758776,0.374007,2469.8
54,3,route_3_to_9,1017,1017,1,0.342363,2469.8
54,4,route_4_to_9,1460,933,0.639041,0.491494,2469.8
54,5,route_5_to_9,441,23,0.0521542,0.148458,2469.8
54,6,route_6_to_9,1262,769,0.60935,0.42484,2469.8
54,7,route_7_to_9,1138,1089,0.956942,0.383096,2469.8
54,8,route_8_to_9,1297,666,0.513493,0.436622,2469.8
54,8,route_8_to_9,8,3,0.375,0.00012032,2469.8
55,0,route_0_to_9,747,741,0.991968,0.25147,2469.8
55,4,route_4_to_9,32,15,0.46875,0.00054272,2469.8
55,5,route_5_to_9,25,8,0.32,0.00037888,2469.8
55,1,route_1_to_9,1307,1157,0.885233,0.439988,2469.8
55,6,route_6_to_9,12,8,0.666667,0.0001792,2469.8
55,2,route_2_to_9,1140,1113,0.976316,0.38377,2469.8
55,3,route_3_to_9,931,918,0.986037,0.313412,2469.8
55,4,route_4_to_9,1377,887,0.644154,0.463553,2469.8
55,5,route_5_to_9,859,389,0.452852,0.289174,2469.8
55,6,route_6_to_9,1253,1121,0.894653,0.42181,2469.8
55,7,route_7_to_9,1218,1205,0.989327,0.410028,2469.8
55,8,route_8_to_9,630,221,0.350794,0.212083,2469.8
55,8,route_8_to_9,13,0,0,0.00019968,2469.8
56,0,route_0_to_9,855,761,0.890058,0.287827,2469.8
56,4,route_4_to_9,41,23,0.560976,0.00069632,2469.8
56,5,route_5_to_9,50,2,0.04,0.00076544,2469.8
56,1,route_1_to_9,1373,1001,0.72906,0.462207,2469.8
56,6,route_6_to_9,20,10,0.5,0.00030976,2469.8
56,2,route_2_to_9,1210,1111,0.918182,0.407334,2469.8
56,3,route_3_to_9,234,220,0.940171,0.0787738,2469.8
56,4,route_4_to_9,1247,864,0.692863,0.41979,2469.8
56,5,route_5_to_9,1459,369,0.252913,0.491158,2469.8
56,6,route_6_to_9,635,477,0.751181,0.213766,2469.8
56,7,route_7_to_9,1492,1455,0.975201,0.502267,2469.8
56,8,route_8_to_9,758,342,0.451187,0.255173,2469.8
56,8,route_8_to_9,18,1,0.0555556,0.00028672,2469.8
57,0,route_0_to_9,1030,825,0.800971,0.346739,2469.8
57,4,route_4_to_9,30,3,0.1,0.00045568,2469.8
57,5,route_5_to_9,43,0,0,0.0006528,2469.8
57,1,route_1_to_9,1115,618,0.55426,0.375354,2469.8
57,6,route_6_to_9,10,0,0,0.0001536,2469.8
57,2,route_2_to_9,609,442,0.72578,0.205014,2469.8
57,3,route_3_to_9,498,484,0.971888,0.167647,2469.8
57,4,route_4_to_9,790,313,0.396203,0.265946,2469.8
57,5,route_5_to_9,1071,173,0.161531,0.360541,2469.8
57,6,route_6_to_9,252,16,0.0634921,0.0848333,2469.8
57,7,route_7_to_9,1369,1335,0.975164,0.46086,2469.8
57,8,route_8_to_9,989,431,0.435794,0.332937,2469.8
57,8,route_8_to_9,21,6,0.285714,0.00033792,2469.8
58,0,route_0_to_9,1397,1166,0.834646,0.470286,2469.8
58,4,route_4_to_9,17,4,0.235294,0.00025856,2469.8
58,5,route_5_to_9,38,9,0.236842,0.0005888,2469.8
58,1,route_1_to_9,680,675,0.992647,0.228915,2469.8
58,6,route_6_to_9,22,9,0.409091,0.00033536,2469.8
58,2,route_2_to_9,939,883,0.940362,0.316105,2469.8
58,3,route_3_to_9,1138,1117,0.981547,0.383096,2469.8
58,4,route_4_to_9,1007,599,0.594836,0.338996,2469.8
58,5,route_5_to_9,1310,636,0.485496,0.440998,2469.8
58,6,route_6_to_9,700,466,0.665714,0.235648,2469.8
58,7,route_7_to_9,1050,1014,0.965714,0.353472,2469.8
58,8,route_8_to_9,672,290,0.431548,0.226222,2469.8
58,8,route_8_to_9,24,9,0.375,0.00036096,2469.8
59,0,route_0_to_9,1256,1217,0.968949,0.42282,2469.8
59,4,route_4_to_9,21,12,0.571429,0.00032,2469.8
59,5,route_5_to_9,31,7,0.225806,0.0004736,2469.8
59,1,route_1_to_9,439,425,0.968109,0.147785,2469.8
59,6,route_6_to_9,21,14,0.666667,0.00033024,2469.8
59,2,route_2_to_9,914,829,0.907002,0.307689,2469.8
59,3,route_3_to_9,1111,1095,0.985599,0.374007,2469.8
59,4,route_4_to_9,1508,1050,0.696286,0.507653,2469.8
59,5,route_5_to_9,1507,523,0.347047,0.507316,2469.8
59,6,route_6_to_9,899,618,0.68743,0.302639,2469.8
59,7,route_7_to_9,1358,1356,0.998527,0.457157,2469.8
59,8,route_8_to_9,969,442,0.45614,0.326204,2469.8
59,8,route_8_to_9,28,3,0.107143,0.00048896,2469.8
60,0,route_0_to_9,1323,1116,0.843537,0.445375,2469.8
60,4,route_4_to_9,15,5,0.333333,0.0002176,2469.8
60,5,route_5_to_9,32,0,0,0.00049152,2469.8
60,1,route_1_to_9,1371,967,0.705325,0.461533,2469.8
60,6,route_6_to_9,21,10,0.47619,0.00032256,2469.8
60,2,route_2_to_9,1035,1007,0.972947,0.348422,2469.8
60,3,route_3_to_9,753,722,0.958831,0.25349,2469.8
60,4,route_4_to_9,1312,675,0.514482,0.441672,2469.8
60,5,route_5_to_9,520,0,0,0.175053,2469.8
60,6,route_6_to_9,1171,920,0.785653,0.394205,2469.8
60,7,route_7_to_9,830,830,1,0.279411,2469.8
60,8,route_8_to_9,1058,441,0.416824,0.356165,2469.8
60,8,route_8_to_9,13,4,0.307692,0.0001888,2469.8
61,0,route_0_to_9,1005,888,0.883582,0.338323,2469.8
61,4,route_4_to_9,28,4,0.142857,0.00044544,2469.8
61,5,route_5_to_9,30,11,0.366667,0.00045824,2469.8
61,1,route_1_to_9,1503,1145,0.76181,0.50597,2469.8
61,6,route_6_to_9,36,20,0.555556,0.00054784,2469.8
61,2,route_2_to_9,1322,1278,0.966717,0.445038,2469.8
61,3,route_3_to_9,602,581,0.965116,0.202657,2469.8
61,4,route_4_to_9,912,652,0.714912,0.307016,2469.8
61,5,route_5_to_9,1476,458,0.310298,0.496881,2469.8
61,6,route_6_to_9,1015,781,0.769458,0.34169,2469.8
61,7,route_7_to_9,1053,1046,0.993352,0.354482,2469.8
61,8,route_8_to_9,691,225,0.325615,0.232618,2469.8
61,8,route_8_to_9,15,0,0,0.0002304,2469.8
62,0,route_0_to_9,993,919,0.925478,0.334284,2469.8
62,4,route_4_to_9,39,17,0.435897,0.00059648,2469.8
62,5,route_5_to_9,27,0,0,0.00040704,2469.8
62,1,route_1_to_9,481,431,0.89605,0.161924,2469.8
62,6,route_6_to_9,16,8,0.5,0.00024576,2469.8
62,2,route_2_to_9,1163,1071,0.920894,0.391512,2469.8
62,3,route_3_to_9,1375,1358,0.987636,0.46288,2469.8
62,4,route_4_to_9,1150,866,0.753043,0.387136,2469.8
62,5,route_5_to_9,1378,518,0.375907,0.46389,2469.8
